INFO:root:completed -> 21948-12.pdf -> batchNum: 21948, batchSize: 12
INFO:root:completed -> 21948-10.pdf -> batchNum: 21948, batchSize: 10
INFO:root:completed -> 21976-1.pdf -> batchNum: 21976, batchSize: 1
INFO:root:completed -> 21977-1.pdf -> batchNum: 21977, batchSize: 1
INFO:root:completed -> 21978-1.pdf -> batchNum: 21978, batchSize: 1
INFO:root:completed -> 21979-1.pdf -> batchNum: 21979, batchSize: 1
INFO:root:completed -> 21980-5.pdf -> batchNum: 21980, batchSize: 5
INFO:root:completed -> 21981-1.pdf -> batchNum: 21981, batchSize: 1
INFO:root:completed -> 21982-1.pdf -> batchNum: 21982, batchSize: 1
INFO:root:completed -> 21983-1.pdf -> batchNum: 21983, batchSize: 1
INFO:root:completed -> 21984-1.pdf -> batchNum: 21984, batchSize: 1
INFO:root:completed -> 21985-3.pdf -> batchNum: 21985, batchSize: 3
INFO:root:completed -> 21986-10.pdf -> batchNum: 21986, batchSize: 10
INFO:root:completed -> 21987-1.pdf -> batchNum: 21987, batchSize: 1
INFO:root:completed -> 21988-1.pdf -> batchNum: 21988, batchSize: 1
INFO:root:completed -> 21989-1.pdf -> batchNum: 21989, batchSize: 1
INFO:root:completed -> 21990-1.pdf -> batchNum: 21990, batchSize: 1
INFO:root:completed -> 21991-5.pdf -> batchNum: 21991, batchSize: 5
INFO:root:completed -> 21992-1.pdf -> batchNum: 21992, batchSize: 1
INFO:root:completed -> 21993-1.pdf -> batchNum: 21993, batchSize: 1
INFO:root:completed -> 21994-1.pdf -> batchNum: 21994, batchSize: 1
INFO:root:completed -> 21995-1.pdf -> batchNum: 21995, batchSize: 1
INFO:root:completed -> 21996-1.pdf -> batchNum: 21996, batchSize: 1
INFO:root:completed -> 21997-1.pdf -> batchNum: 21997, batchSize: 1
INFO:root:completed -> 21998-5.pdf -> batchNum: 21998, batchSize: 5
INFO:root:completed -> 21999-1.pdf -> batchNum: 21999, batchSize: 1
INFO:root:completed -> 22000-5.pdf -> batchNum: 22000, batchSize: 5
INFO:root:completed -> 22001-5.pdf -> batchNum: 22001, batchSize: 5
INFO:root:completed -> 22002-5.pdf -> batchNum: 22002, batchSize: 5
INFO:root:completed -> 22003-1.pdf -> batchNum: 22003, batchSize: 1
INFO:root:completed -> 22004-1.pdf -> batchNum: 22004, batchSize: 1
INFO:root:completed -> 22005-1.pdf -> batchNum: 22005, batchSize: 1
INFO:root:completed -> 22006-1.pdf -> batchNum: 22006, batchSize: 1
INFO:root:completed -> 22007-1.pdf -> batchNum: 22007, batchSize: 1
INFO:root:completed -> 22008-28.pdf -> batchNum: 22008, batchSize: 28
INFO:root:completed -> 22009-46.pdf -> batchNum: 22009, batchSize: 46
INFO:root:completed -> 22010-50.pdf -> batchNum: 22010, batchSize: 50
INFO:root:completed -> 22011-78.pdf -> batchNum: 22011, batchSize: 78
INFO:root:completed -> 22012-50.pdf -> batchNum: 22012, batchSize: 50
INFO:root:completed -> 22013-100.pdf -> batchNum: 22013, batchSize: 100
INFO:root:completed -> 22014-50.pdf -> batchNum: 22014, batchSize: 50
INFO:root:completed -> 22015-25.pdf -> batchNum: 22015, batchSize: 25
INFO:root:completed -> 22016-25.pdf -> batchNum: 22016, batchSize: 25
INFO:root:completed -> 22017-43.pdf -> batchNum: 22017, batchSize: 43
INFO:root:completed -> 22009-29.pdf -> batchNum: 22009, batchSize: 29
INFO:root:completed -> 22010-50.pdf -> batchNum: 22010, batchSize: 50
INFO:root:completed -> 22018-6.pdf -> batchNum: 22018, batchSize: 6
INFO:root:completed -> 22019-25.pdf -> batchNum: 22019, batchSize: 25
INFO:root:completed -> 22020-100.pdf -> batchNum: 22020, batchSize: 100
INFO:root:completed -> 22013-100.pdf -> batchNum: 22013, batchSize: 100
INFO:root:completed -> 22014-50.pdf -> batchNum: 22014, batchSize: 50
INFO:root:completed -> 22017-33.pdf -> batchNum: 22017, batchSize: 33
INFO:root:completed -> 22013-5.pdf -> batchNum: 22013, batchSize: 5
INFO:root:completed -> 22021-100.pdf -> batchNum: 22021, batchSize: 100
INFO:root:completed -> 22022-6.pdf -> batchNum: 22022, batchSize: 6
INFO:root:completed -> 22016-1.pdf -> batchNum: 22016, batchSize: 1
INFO:root:completed -> 22016-24.pdf -> batchNum: 22016, batchSize: 24
INFO:root:completed -> 22023-23.pdf -> batchNum: 22023, batchSize: 23
INFO:root:completed -> 22024-50.pdf -> batchNum: 22024, batchSize: 50
INFO:root:completed -> 22025-6.pdf -> batchNum: 22025, batchSize: 6
INFO:root:completed -> 22026-100.pdf -> batchNum: 22026, batchSize: 100
INFO:root:completed -> 22027-50.pdf -> batchNum: 22027, batchSize: 50
INFO:root:completed -> 22028-1.pdf -> batchNum: 22028, batchSize: 1
INFO:root:completed -> 22029-1.pdf -> batchNum: 22029, batchSize: 1
INFO:root:completed -> 22030-1.pdf -> batchNum: 22030, batchSize: 1
INFO:root:completed -> 22031-1.pdf -> batchNum: 22031, batchSize: 1
INFO:root:completed -> 22032-3.pdf -> batchNum: 22032, batchSize: 3
INFO:root:completed -> 22033-1.pdf -> batchNum: 22033, batchSize: 1
INFO:root:completed -> 22034-1.pdf -> batchNum: 22034, batchSize: 1
INFO:root:completed -> 22035-1.pdf -> batchNum: 22035, batchSize: 1
INFO:root:completed -> 22036-1.pdf -> batchNum: 22036, batchSize: 1
INFO:root:completed -> 22037-1.pdf -> batchNum: 22037, batchSize: 1
INFO:root:completed -> 22038-1.pdf -> batchNum: 22038, batchSize: 1
INFO:root:completed -> 22039-100.pdf -> batchNum: 22039, batchSize: 100
INFO:root:completed -> 22040-50.pdf -> batchNum: 22040, batchSize: 50
INFO:root:completed -> 22041-50.pdf -> batchNum: 22041, batchSize: 50
INFO:root:completed -> 22042-68.pdf -> batchNum: 22042, batchSize: 68
INFO:root:completed -> 22043-50.pdf -> batchNum: 22043, batchSize: 50
INFO:root:completed -> 22044-55.pdf -> batchNum: 22044, batchSize: 55
INFO:root:completed -> 22045-50.pdf -> batchNum: 22045, batchSize: 50
INFO:root:completed -> 22046-10.pdf -> batchNum: 22046, batchSize: 10
INFO:root:completed -> 22047-3.pdf -> batchNum: 22047, batchSize: 3
INFO:root:completed -> 22048-3.pdf -> batchNum: 22048, batchSize: 3
INFO:root:completed -> 22049-5.pdf -> batchNum: 22049, batchSize: 5
INFO:root:completed -> 22050-2.pdf -> batchNum: 22050, batchSize: 2
INFO:root:completed -> 22051-1.pdf -> batchNum: 22051, batchSize: 1
INFO:root:completed -> 22052-1.pdf -> batchNum: 22052, batchSize: 1
INFO:root:completed -> 22053-1.pdf -> batchNum: 22053, batchSize: 1
INFO:root:completed -> 22054-1.pdf -> batchNum: 22054, batchSize: 1
INFO:root:completed -> 22055-1.pdf -> batchNum: 22055, batchSize: 1
INFO:root:completed -> 22056-3.pdf -> batchNum: 22056, batchSize: 3
INFO:root:completed -> 22057-5.pdf -> batchNum: 22057, batchSize: 5
INFO:root:completed -> 22058-5.pdf -> batchNum: 22058, batchSize: 5
INFO:root:completed -> 22059-1.pdf -> batchNum: 22059, batchSize: 1
INFO:root:completed -> 22060-3.pdf -> batchNum: 22060, batchSize: 3
INFO:root:completed -> 22061-1.pdf -> batchNum: 22061, batchSize: 1
INFO:root:completed -> 22062-50.pdf -> batchNum: 22062, batchSize: 50
INFO:root:completed -> 22063-50.pdf -> batchNum: 22063, batchSize: 50
INFO:root:completed -> 22064-50.pdf -> batchNum: 22064, batchSize: 50
INFO:root:completed -> 22065-25.pdf -> batchNum: 22065, batchSize: 25
INFO:root:completed -> 22066-100.pdf -> batchNum: 22066, batchSize: 100
INFO:root:completed -> 22067-30.pdf -> batchNum: 22067, batchSize: 30
INFO:root:completed -> 22068-50.pdf -> batchNum: 22068, batchSize: 50
INFO:root:completed -> 22069-20.pdf -> batchNum: 22069, batchSize: 20
INFO:root:completed -> 22070-100.pdf -> batchNum: 22070, batchSize: 100
INFO:root:completed -> 22071-100.pdf -> batchNum: 22071, batchSize: 100
INFO:root:completed -> 22072-100.pdf -> batchNum: 22072, batchSize: 100
INFO:root:completed -> 22073-40.pdf -> batchNum: 22073, batchSize: 40
INFO:root:completed -> 22074-17.pdf -> batchNum: 22074, batchSize: 17
INFO:root:completed -> 22075-100.pdf -> batchNum: 22075, batchSize: 100
INFO:root:completed -> 22076-1.pdf -> batchNum: 22076, batchSize: 1
INFO:root:completed -> 22077-5.pdf -> batchNum: 22077, batchSize: 5
INFO:root:completed -> 22078-5.pdf -> batchNum: 22078, batchSize: 5
INFO:root:completed -> 22079-10.pdf -> batchNum: 22079, batchSize: 10
INFO:root:completed -> 22080-1.pdf -> batchNum: 22080, batchSize: 1
INFO:root:completed -> 22081-1.pdf -> batchNum: 22081, batchSize: 1
INFO:root:completed -> 22082-3.pdf -> batchNum: 22082, batchSize: 3
INFO:root:completed -> 22083-10.pdf -> batchNum: 22083, batchSize: 10
INFO:root:completed -> 22084-1.pdf -> batchNum: 22084, batchSize: 1
INFO:root:completed -> 22085-1.pdf -> batchNum: 22085, batchSize: 1
